fecha,REP_ultimo,REP_per,REP_bpa,REP_rentabilidad_por_dividendo,REP_precio_valor_contable,REP_ebitda
2018-11-27,"14,157","5,33","1,46","6,98","0,40","7.173,00"
2018-11-28,"14,039","5,33","1,46","6,98","0,40","7.173,00"
2018-11-29,"14,323","5,33","1,46","6,98","0,40","7.173,00"
2018-11-30,"14,427","5,33","1,46","6,98","0,40","7.173,00"
2018-12-03,"14,474","5,33","1,46","6,98","0,40","7.173,00"
2018-12-04,"14,474","5,33","1,46","6,98","0,40","7.173,00"
2018-12-05,"14,242","5,33","1,46","6,98","0,40","7.173,00"
2018-12-06,"13,542","5,33","1,46","6,98","0,40","7.173,00"
2018-12-07,"13,987","5,33","1,46","6,98","0,40","7.173,00"
2018-12-10,"13,623","5,33","1,46","6,98","0,40","7.173,00"
2018-12-11,"13,821","5,33","1,46","6,98","0,40","7.173,00"
2018-12-12,"13,968","5,33","1,46","6,98","0,40","7.173,00"
2018-12-13,"14,124","5,33","1,46","6,98","0,40","7.173,00"
2018-12-14,"13,992","5,33","1,46","6,98","0,40","7.173,00"
2018-12-17,"13,916","5,33","1,46","6,98","0,40","7.173,00"
2018-12-18,"13,779","5,33","1,46","6,98","0,40","7.173,00"
2018-12-19,"13,873","5,33","1,46","6,98","0,40","7.173,00"
2018-12-20,"13,542","5,33","1,46","6,98","0,40","7.173,00"
2018-12-21,"13,594","5,33","1,46","6,98","0,40","7.173,00"
2018-12-24,"13,483","5,33","1,46","6,98","0,40","7.173,00"
2018-12-27,"13,261","5,33","1,46","6,98","0,40","7.173,00"
2018-12-28,"13,677","5,33","1,46","6,98","0,40","7.173,00"
2018-12-31,"13,595","5,33","1,46","6,98","0,40","7.173,00"
2019-01-02,"13,744","5,80","1,34","6,87","0,48","7.201,00"
2019-01-03,"13,763","5,80","1,34","6,87","0,48","7.201,00"
2019-01-04,"14,092","5,80","1,34","6,87","0,48","7.201,00"
2019-01-07,"13,976","5,80","1,34","6,87","0,48","7.201,00"
2019-01-08,"13,990","5,80","1,34","6,87","0,48","7.201,00"
2019-01-09,"14,188","5,80","1,34","6,87","0,48","7.201,00"
2019-01-10,"14,265","5,80","1,34","6,87","0,48","7.201,00"
2019-01-11,"14,241","5,80","1,34","6,87","0,48","7.201,00"
2019-01-14,"14,164","5,80","1,34","6,87","0,48","7.201,00"
2019-01-15,"14,135","5,80","1,34","6,87","0,48","7.201,00"
2019-01-16,"14,145","5,80","1,34","6,87","0,48","7.201,00"
2019-01-17,"14,246","5,80","1,34","6,87","0,48","7.201,00"
2019-01-18,"14,483","5,80","1,34","6,87","0,48","7.201,00"
2019-01-21,"14,290","5,80","1,34","6,87","0,48","7.201,00"
2019-01-22,"14,319","5,80","1,34","6,87","0,48","7.201,00"
2019-01-23,"14,265","5,80","1,34","6,87","0,48","7.201,00"
2019-01-24,"14,531","5,80","1,34","6,87","0,48","7.201,00"
2019-01-25,"14,526","5,80","1,34","6,87","0,48","7.201,00"
2019-01-28,"14,261","5,80","1,34","6,87","0,48","7.201,00"
2019-01-29,"14,492","5,80","1,34","6,87","0,48","7.201,00"
2019-01-30,"14,603","5,80","1,34","6,87","0,48","7.201,00"
2019-01-31,"14,801","5,80","1,34","6,87","0,48","7.201,00"
2019-02-01,"14,743","5,80","1,34","6,87","0,48","7.201,00"
2019-02-04,"14,705","5,80","1,34","6,87","0,48","7.201,00"
2019-02-05,"14,874","5,80","1,34","6,87","0,48","7.201,00"
2019-02-06,"14,840","5,80","1,34","6,87","0,48","7.201,00"
2019-02-07,"14,507","5,80","1,34","6,87","0,48","7.201,00"
2019-02-08,"14,348","5,80","1,34","6,87","0,48","7.201,00"
2019-02-11,"14,372","5,80","1,34","6,87","0,48","7.201,00"
2019-02-12,"14,492","5,80","1,34","6,87","0,48","7.201,00"
2019-02-13,"14,565","5,80","1,34","6,87","0,48","7.201,00"
2019-02-14,"14,478","5,80","1,34","6,87","0,48","7.201,00"
2019-02-15,"14,647","5,80","1,34","6,87","0,48","7.201,00"
2019-02-18,"14,671","5,80","1,34","6,87","0,48","7.201,00"
2019-02-19,"14,589","5,80","1,34","6,87","0,48","7.201,00"
2019-02-20,"14,681","5,80","1,34","6,87","0,48","7.201,00"
2019-02-21,"14,666","5,80","1,34","6,87","0,48","7.201,00"
2019-02-22,"14,632","5,80","1,34","6,87","0,48","7.201,00"
2019-02-25,"14,502","5,80","1,34","6,87","0,48","7.201,00"
2019-02-26,"14,608","5,80","1,34","6,87","0,48","7.201,00"
2019-02-27,"14,628","5,80","1,34","6,87","0,48","7.201,00"
2019-02-28,"14,603","5,80","1,34","6,87","0,48","7.201,00"
2019-03-01,"14,594","5,80","1,34","6,87","0,48","7.201,00"
2019-03-04,"14,579","5,80","1,34","6,87","0,48","7.201,00"
2019-03-05,"14,565","5,80","1,34","6,87","0,48","7.201,00"
2019-03-06,"14,579","5,80","1,34","6,87","0,48","7.201,00"
2019-03-07,"14,546","5,80","1,34","6,87","0,48","7.201,00"
2019-03-08,"14,246","5,80","1,34","6,87","0,48","7.201,00"
2019-03-11,"14,343","5,80","1,34","6,87","0,48","7.201,00"
2019-03-12,"14,280","5,80","1,34","6,87","0,48","7.201,00"
2019-03-13,"14,468","5,80","1,34","6,87","0,48","7.201,00"
2019-03-14,"14,492","5,80","1,34","6,87","0,48","7.201,00"
2019-03-15,"14,483","5,80","1,34","6,87","0,48","7.201,00"
2019-03-18,"14,830","5,80","1,34","6,87","0,48","7.201,00"
2019-03-19,"14,980","5,80","1,34","6,87","0,48","7.201,00"
2019-03-20,"14,941","5,80","1,34","6,87","0,48","7.201,00"
2019-03-21,"14,932","5,80","1,34","6,87","0,48","7.201,00"
2019-03-22,"14,685","5,80","1,34","6,87","0,48","7.201,00"
2019-03-25,"14,575","5,80","1,34","6,87","0,48","7.201,00"
2019-03-26,"14,628","5,80","1,34","6,87","0,48","7.201,00"
