fecha,AENA_ultimo,AENA_per,AENA_bpa,AENA_rentabilidad_por_dividendo,AENA_precio_valor_contable,AENA_ebitda
2019-03-14,"159,50","12,42","9,61","4,00","2,80","2.772,00"
2019-03-15,"161,90","12,42","9,61","4,00","2,80","2.772,00"
2019-03-18,"163,55","12,42","9,61","4,00","2,80","2.772,00"
2019-03-19,"166,15","12,42","9,61","4,00","2,80","2.772,00"
2019-03-20,"162,05","12,42","9,61","4,00","2,80","2.772,00"
2019-03-21,"161,90","12,42","9,61","4,00","2,80","2.772,00"
2019-03-22,"159,45","12,42","9,61","4,00","2,80","2.772,00"
2019-03-25,"159,75","12,42","9,61","4,00","2,80","2.772,00"
2019-03-26,"160,10","12,42","9,61","4,00","2,80","2.772,00"
2019-03-27,"162,85","12,42","9,61","4,00","2,80","2.772,00"
2019-03-28,"163,20","12,42","9,61","4,00","2,80","2.772,00"
2019-03-29,"160,50","12,42","9,61","4,00","2,80","2.772,00"
2019-04-01,"160,70","12,42","9,61","4,00","2,80","2.772,00"
2019-04-02,"161,65","12,42","9,61","4,00","2,80","2.772,00"
2019-04-03,"163,75","12,42","9,61","4,00","2,80","2.772,00"
2019-04-04,"162,15","12,42","9,61","4,00","2,80","2.772,00"
2019-04-05,"162,40","12,42","9,61","4,00","2,80","2.772,00"
2019-04-08,"159,00","12,42","9,61","4,00","2,80","2.772,00"
2019-04-09,"159,00","12,42","9,61","4,00","2,80","2.772,00"
2019-04-10,"162,35","12,42","9,61","4,00","2,80","2.772,00"
2019-04-11,"163,50","12,42","9,61","4,00","2,80","2.772,00"
2019-04-12,"163,40","12,42","9,61","4,00","2,80","2.772,00"
2019-04-15,"165,00","12,42","9,61","4,00","2,80","2.772,00"
2019-04-16,"164,00","12,42","9,61","4,00","2,80","2.772,00"
2019-04-17,"158,40","12,42","9,61","4,00","2,80","2.772,00"
2019-04-18,"158,90","12,42","9,61","4,00","2,80","2.772,00"
2019-04-23,"159,00","12,42","9,61","4,00","2,80","2.772,00"
2019-04-24,"160,25","12,42","9,61","4,00","2,80","2.772,00"
2019-04-25,"160,80","12,42","9,61","4,00","2,80","2.772,00"
2019-04-26,"162,75","12,42","9,61","4,00","2,80","2.772,00"
2019-04-29,"162,80","12,42","9,61","4,00","2,80","2.772,00"
2019-04-30,"165,35","12,42","9,61","4,00","2,80","2.772,00"
2019-05-02,"165,75","12,42","9,61","4,00","2,80","2.772,00"
2019-05-03,"165,25","12,42","9,61","4,00","2,80","2.772,00"
2019-05-06,"164,90","12,42","9,61","4,00","2,80","2.772,00"
2019-05-07,"164,40","12,42","9,61","4,00","2,80","2.772,00"
2019-05-08,"164,55","12,42","9,61","4,00","2,80","2.772,00"
2019-05-09,"165,10","12,42","9,61","4,00","2,80","2.772,00"
2019-05-10,"163,85","12,42","9,61","4,00","2,80","2.772,00"
2019-05-13,"163,70","12,42","9,61","4,00","2,80","2.772,00"
2019-05-14,"165,55","12,42","9,61","4,00","2,80","2.772,00"
2019-05-15,"167,00","12,42","9,61","4,00","2,80","2.772,00"
2019-05-16,"168,10","12,42","9,61","4,00","2,80","2.772,00"
2019-05-17,"166,75","12,42","9,61","4,00","2,80","2.772,00"
2019-05-20,"165,00","12,42","9,61","4,00","2,80","2.772,00"
2019-05-21,"167,75","12,42","9,61","4,00","2,80","2.772,00"
2019-05-22,"168,00","12,42","9,61","4,00","2,80","2.772,00"
2019-05-23,"165,75","12,42","9,61","4,00","2,80","2.772,00"
2019-05-24,"167,10","12,42","9,61","4,00","2,80","2.772,00"
2019-05-27,"167,20","12,42","9,61","4,00","2,80","2.772,00"
2019-05-28,"167,60","12,42","9,61","4,00","2,80","2.772,00"
2019-05-29,"165,15","12,42","9,61","4,00","2,80","2.772,00"
2019-05-30,"167,30","12,42","9,61","4,00","2,80","2.772,00"
2019-05-31,"164,90","12,42","9,61","4,00","2,80","2.772,00"
2019-06-03,"166,95","12,42","9,61","4,00","2,80","2.772,00"
