ultimo,apertura,maximo,minimo,vol,variacion
10112.4,10209.3,10221.0,10088.4,249.55,-1.02
10216.4,10120.8,10216.4,10108.5,153.62,1.04
10111.0,10189.8,10194.2,10089.8,212.0,-0.95
10207.6,10237.9,10265.0,10159.1,152.74,-0.49
10257.8,10277.2,10291.4,10215.3,108.96,-0.13
10271.4,10245.2,10284.5,10242.1,120.33,0.24
10246.6,10243.3,10257.1,10191.1,116.75,0.25
10221.2,10163.7,10222.7,10138.9,133.26,0.52
10168.1,10135.1,10180.5,10091.9,177.96,0.27
10140.9,10114.2,10148.6,10106.3,89.76,0.36
10104.1,10047.1,10104.1,10029.4,162.05,0.65
10038.8,10080.7,10095.2,10017.6,140.96,-0.5
10088.9,9982.6,10098.9,9981.4,157.39,1.09
9980.6,9924.0,9995.4,9916.1,142.92,0.56
9925.4,9894.2,9947.3,9883.8,139.09,0.23
9902.3,9871.5,9914.7,9856.7,131.27,0.45
9858.0,9829.2,9858.4,9793.0,161.12,-0.26
9883.4,9922.7,9939.4,9848.4,188.82,-0.39
9922.0,9898.6,9922.0,9862.6,118.07,0.38
